	Lower state (i)			Upper state (k)		
fik	Configuration	term	J	Configuration	term	J
2.86E-01	3d4s	3D	3	3d4p	3D	3
1.38E-07	3d4s	1D	2	3d4p	3D	3
9.10E-06	4s5p	3P	1	4p2	3P	0
1.09E-05	4s5p	1P	1	4p2	3P	0
3.75E-04	3d4p	3D	1	4p2	3P	0
1.69E-01	4s4p	3P	1	4p2	3P	0
6.86E-05	4s4p	1P	1	4p2	3P	0
1.90E-07	3d4p	3F	2	4p2	3P	1
8.87E-08	3d4p	1D	2	4p2	3P	1
1.65E-04	4s5p	3P	0	4p2	3P	1
1.15E-05	4s5p	3P	1	4p2	3P	1
4.17E-08	4s5p	3P	2	4p2	3P	1
7.04E-08	4s5p	1P	1	4p2	3P	1
5.06E-01	4s4p	3P	0	4p2	3P	1
3.33E-04	3d4p	3D	1	4p2	3P	1
5.53E-04	3d4p	3D	2	4p2	3P	1
1.28E-01	4s4p	3P	1	4p2	3P	1
1.27E-01	4s4p	3P	2	4p2	3P	1
3.22E-06	4s4p	1P	1	4p2	3P	1
4.12E-07	3d4p	3F	2	4p2	3P	2
6.22E-07	3d4p	3F	3	4p2	3P	2
2.89E-06	3d4p	1D	2	4p2	3P	2
6.18E-05	4s5p	3P	1	4p2	3P	2
1.31E-05	4s5p	3P	2	4p2	3P	2
1.61E-04	4s5p	1P	1	4p2	3P	2
2.85E-05	3d4p	3D	1	4p2	3P	2
2.37E-04	3d4p	3D	2	4p2	3P	2
8.64E-04	3d4p	3D	3	4p2	3P	2
2.10E-01	4s4p	3P	1	4p2	3P	2
3.82E-01	4s4p	3P	2	4p2	3P	2
4.40E-04	4s4p	1P	1	4p2	3P	2
4.88E-03	4s5s	3S	1	3d4p	3P	0
1.42E-02	4s4d	3D	1	3d4p	3P	0
9.47E-06	4p2	3P	1	3d4p	3P	0
1.07E-01	3d4s	3D	1	3d4p	3P	0
1.46E-02	4s5s	3S	1	3d4p	3P	1
2.46E-05	4s2	1S	0	3d4p	3P	1
1.06E-04	4s5s	1S	0	3d4p	3P	1
3.21E-05	4s4d	1D	2	3d4p	3P	1
1.07E-02	4s4d	3D	1	3d4p	3P	1
1.90E-02	4s4d	3D	2	3d4p	3P	1
5.19E-05	4p2	3P	0	3d4p	3P	1
8.52E-06	4p2	3P	1	3d4p	3P	1
7.58E-06	4p2	3P	2	3d4p	3P	1
8.41E-02	3d4s	3D	1	3d4p	3P	1
1.43E-01	3d4s	3D	2	3d4p	3P	1
9.44E-06	3d4s	1D	2	3d4p	3P	1
2.45E-02	4s5s	3S	1	3d4p	3P	2
8.94E-09	4s4d	1D	2	3d4p	3P	2
7.33E-04	4s4d	3D	1	3d4p	3P	2
6.51E-03	4s4d	3D	2	3d4p	3P	2
2.54E-02	4s4d	3D	3	3d4p	3P	2
3.27E-05	4p2	3P	1	3d4p	3P	2
3.47E-05	4p2	3P	2	3d4p	3P	2
6.10E-03	3d4s	3D	1	3d4p	3P	2
5.19E-02	3d4s	3D	2	3d4p	3P	2
1.90E-01	3d4s	3D	3	3d4p	3P	2
1.16E-04	3d4s	1D	2	3d4p	3P	2
3.13E-01	4s4d	1D	2	3d4p	1F	3
2.96E-05	4s4d	3D	2	3d4p	1F	3
1.91E-07	4s4d	3D	3	3d4p	1F	3
4.85E-05	4p2	3P	2	3d4p	1F	3
4.46E-06	3d4s	3D	2	3d4p	1F	3
4.62E-05	3d4s	3D	3	3d4p	1F	3
3.43E-02	3d4s	1D	2	3d4p	1F	3
6.09E-03	3d4p	3F	2	4p2	1D	2
6.72E-07	3d4p	3F	3	4p2	1D	2
1.51E-02	3d4p	1D	2	4p2	1D	2
1.92E-03	4s5p	3P	1	4p2	1D	2
7.10E-05	4s5p	3P	2	4p2	1D	2
2.05E-01	4s5p	1P	1	4p2	1D	2
4.72E-05	3d4p	3D	1	4p2	1D	2
9.33E-07	3d4p	3D	2	4p2	1D	2
7.62E-07	3d4p	3D	3	4p2	1D	2
1.76E-05	4s4p	3P	1	4p2	1D	2
1.81E-05	3d4p	3P	1	4p2	1D	2
1.65E-06	3d4p	3P	2	4p2	1D	2
9.35E-04	3d4p	1F	3	4p2	1D	2
1.82E-04	4s4p	3P	2	4p2	1D	2
4.94E-01	4s4p	1P	1	4p2	1D	2
2.11E-04	4s5p	3P	1	4p2	1S	0
2.50E-02	4s5p	1P	1	4p2	1S	0
4.78E-06	3d4p	3D	1	4p2	1S	0
7.68E-05	4s4p	3P	1	4p2	1S	0
1.85E-05	3d4p	3P	1	4p2	1S	0
8.92E-03	4s6p	1P	1	4p2	1S	0
1.18E-01	4s4p	1P	1	4p2	1S	0
7.06E-02	3d4p	3F	2	3d2	3F	2
8.57E-03	3d4p	3F	3	3d2	3F	2
2.68E-02	3d4p	1D	2	3d2	3F	2
1.46E-06	4s5p	3P	1	3d2	3F	2
7.33E-06	4s5p	3P	2	3d2	3F	2
2.13E-05	4s5p	1P	1	3d2	3F	2
1.91E-01	3d4p	3D	1	3d2	3F	2
2.04E-02	3d4p	3D	2	3d2	3F	2
3.90E-04	3d4p	3D	3	3d2	3F	2
3.03E-08	4s4p	3P	1	3d2	3F	2
2.96E-05	3d4p	3P	1	3d2	3F	2
6.04E-06	3d4p	3P	2	3d2	3F	2
3.07E-06	3d4p	1F	3	3d2	3F	2
1.77E-05	4s6p	1P	1	3d2	3F	2
8.98E-06	4s4f	3F	2	3d2	3F	2
7.55E-07	4s4f	3F	3	3d2	3F	2
5.30E-10	4s4p	3P	2	3d2	3F	2
2.76E-06	4s4f	1F	3	3d2	3F	2
5.32E-08	4s6p	3P	1	3d2	3F	2
9.32E-09	4s6p	3P	2	3d2	3F	2
2.50E-05	4s4p	1P	1	3d2	3F	2
8.04E-03	3d4p	3F	2	3d2	3F	3
9.16E-02	3d4p	3F	3	3d2	3F	3
3.50E-03	3d4p	1D	2	3d2	3F	3
6.66E-03	3d4p	3F	4	3d2	3F	3
4.69E-06	4s5p	3P	2	3d2	3F	3
1.70E-01	3d4p	3D	2	3d2	3F	3
1.43E-02	3d4p	3D	3	3d2	3F	3
4.77E-05	3d4p	3P	2	3d2	3F	3
3.35E-06	3d4p	1F	3	3d2	3F	3
1.21E-06	4s4f	3F	2	3d2	3F	3
8.86E-06	4s4f	3F	3	3d2	3F	3
4.19E-08	4s4p	3P	2	3d2	3F	3
6.14E-07	4s4f	3F	4	3d2	3F	3
2.13E-07	4s4f	1F	3	3d2	3F	3
7.70E-08	4s6p	3P	2	3d2	3F	3
8.11E-03	3d4p	3F	3	3d2	3F	4
1.01E-01	3d4p	3F	4	3d2	3F	4
1.75E-01	3d4p	3D	3	3d2	3F	4
1.72E-06	3d4p	1F	3	3d2	3F	4
9.31E-07	4s4f	3F	3	3d2	3F	4
1.04E-05	4s4f	3F	4	3d2	3F	4
1.55E-08	4s4f	1F	3	3d2	3F	4
1.31E-03	3d4p	3F	4	4s5g	3G	5
1.27E+00	4s4f	3F	4	4s5g	3G	5
6.50E-02	4s5f	3F	4	4s5g	3G	5
1.13E-04	3d4p	3F	3	4s5g	1G	4
5.32E-06	3d4p	3F	4	4s5g	1G	4
3.26E-06	3d4p	3D	3	4s5g	1G	4
2.82E-01	3d4p	1F	3	4s5g	1G	4
1.03E-01	4s4f	3F	3	4s5g	1G	4
5.43E-03	4s4f	3F	4	4s5g	1G	4
1.08E+00	4s4f	1F	3	4s5g	1G	4
5.41E-03	4s5f	3F	3	4s5g	1G	4
2.81E-04	4s5f	3F	4	4s5g	1G	4
3.70E-02	4s5f	1F	3	4s5g	1G	4
