fik	Lower Level   Conf., Term, J			Upper Level   Conf., Term, J		
						
9.90E-05	1s4f	3F	3	1s8d	1D	2
1.78E-04	1s4f	1F	3	1s8d	1D	2
1.60E-04	1s4f	3F	3	1s8d	3D	2
1.98E-05	1s4f	3F	3	1s8d	3D	3
2.80E-04	1s4f	3F	4	1s8d	3D	3
						
2.35E-04	1s4f	3F	2	1s8d	3D	1
4.36E-05	1s4f	3F	2	1s8d	3D	2
8.86E-05	1s4f	1F	3	1s8d	3D	2
1.14E-05	1s4f	1F	3	1s8d	3D	3
2.59E-02	1s4s	1S	0	1s7p	1P	1
						
1.97E-03	1s4d	3D	3	1s8p	3P	2
1.47E-03	1s4d	3D	2	1s8p	3P	1
4.92E-04	1s4d	3D	2	1s8p	3P	2
1.09E-03	1s4d	3D	1	1s8p	3P	0
8.19E-04	1s4d	3D	1	1s8p	3P	1
						
5.46E-05	1s4d	3D	1	1s8p	3P	2
1.23E-02	1s3d	3D	1	1s4p	3P	0
1.66E-02	1s3d	3D	2	1s4p	3P	1
2.22E-02	1s3d	3D	3	1s4p	3P	2
5.54E-03	1s3d	3D	2	1s4p	3P	2
						
9.24E-03	1s3d	3D	1	1s4p	3P	1
6.16E-04	1s3d	3D	1	1s4p	3P	2
3.96E-06	1s3d	1D	2	1s4p	3P	1
1.35E-06	1s3d	1D	2	1s4p	3P	2
3.36E-02	1s4p	1P	1	1s8d	1D	2
						
5.61E-03	1s4p	1P	1	1s8s	1S	0
						
fik	Lower Level   Conf., Term, J			Upper Level   Conf., Term, J		
						
2.40E-03	1s4s	3S	1	1s6p	3P	0
7.21E-03	1s4s	3S	1	1s6p	3P	1
1.20E-02	1s4s	3S	1	1s6p	3P	2
3.76E-01	1s2s	1S	0	1s2p	1P	1
5.52E-04	1s4p	3P	2	1s7d	3D	1
						
8.29E-03	1s4p	3P	2	1s7d	3D	2
4.64E-02	1s4p	3P	2	1s7d	3D	3
1.38E-02	1s4p	3P	1	1s7d	3D	1
4.14E-02	1s4p	3P	1	1s7d	3D	2
5.52E-02	1s4p	3P	0	1s7d	3D	1
						
1.45E-01	1s3p	3P	2	1s4s	3S	1
1.45E-01	1s3p	3P	1	1s4s	3S	1
1.45E-01	1s3p	3P	0	1s4s	3S	1
1.03E-01	1s3p	1P	1	1s4s	1S	0
1.28E-02	1s4p	3P	2	1s7s	3S	1
						
1.28E-02	1s4p	3P	1	1s7s	3S	1
1.28E-02	1s4p	3P	0	1s7s	3S	1
1.96E-03	1s4d	1D	2	1s7p	1P	1
1.43E-03	1s4d	3D	3	1s7f	1F	3
1.53E-02	1s4d	3D	2	1s7f	1F	3
						
1.64E-04	1s4d	3D	3	1s7f	3F	2
8.04E-03	1s4d	3D	2	1s7f	3F	2
6.65E-02	1s4d	3D	3	1s7f	3F	4
4.32E-03	1s4d	3D	3	1s7f	3F	3
4.90E-02	1s4d	3D	2	1s7f	3F	3
						
7.24E-02	1s4d	3D	1	1s7f	3F	2
5.50E-02	1s4d	1D	2	1s7f	1F	3
1.04E-06	1s4d	1D	2	1s7f	3F	2
1.73E-02	1s4d	1D	2	1s7f	3F	3
5.75E-04	1s4f	3F	3	1s7g	1G	4
						
2.32E-03	1s4f	3F	3	1s7g	3G	3
5.55E-02	1s4f	3F	3	1s7g	3G	4
1.36E-03	1s4f	3F	4	1s7g	1G	4
4.51E-05	1s4f	3F	4	1s7g	3G	3
5.55E-02	1s4f	3F	4	1s7g	3G	5
						
1.48E-03	1s4f	3F	4	1s7g	3G	4
5.84E-02	1s4f	3F	2	1s7g	3G	3
5.61E-02	1s4f	1F	3	1s7g	1G	4
1.33E-03	1s4f	1F	3	1s7g	3G	3
9.96E-04	1s4f	1F	3	1s7g	3G	4
						
2.06E-04	1s4f	3F	3	1s7d	1D	2
3.71E-04	1s4f	1F	3	1s7d	1D	2
3.33E-04	1s4f	3F	3	1s7d	3D	2
4.11E-05	1s4f	3F	3	1s7d	3D	3
5.82E-04	1s4f	3F	4	1s7d	3D	3
						
4.89E-04	1s4f	3F	2	1s7d	3D	1
9.05E-05	1s4f	3F	2	1s7d	3D	2
2.59E-06	1s4f	3F	2	1s7d	3D	3
1.84E-04	1s4f	1F	3	1s7d	3D	2
2.36E-05	1s4f	1F	3	1s7d	3D	3
						
2.17E-03	1s4d	3D	1	1s7p	3P	0
2.93E-03	1s4d	3D	2	1s7p	3P	1
3.90E-03	1s4d	3D	3	1s7p	3P	2
9.76E-04	1s4d	3D	2	1s7p	3P	2
1.63E-03	1s4d	3D	1	1s7p	3P	1
						
1.08E-04	1s4d	3D	1	1s7p	3P	2
6.36E-02	1s4p	1P	1	1s7d	1D	2
5.17E-06	1s4p	1P	1	1s7d	3D	2
1.10E-02	1s4p	1P	1	1s7s	1S	0
5.28E-02	1s4s	1S	0	1s6p	1P	1
						
1.69E-06	1s4p	3P	2	1s6d	1D	2
7.87E-06	1s4p	3P	1	1s6d	1D	2
1.24E-03	1s4p	3P	2	1s6d	3D	1
1.86E-02	1s4p	3P	2	1s6d	3D	2
1.04E-01	1s4p	3P	2	1s6d	3D	3
						
3.10E-02	1s4p	3P	1	1s6d	3D	1
9.30E-02	1s4p	3P	1	1s6d	3D	2
1.24E-01	1s4p	3P	0	1s6d	3D	1
5.39E-04	1s5s	3S	1	1s10p	3P	0
1.62E-03	1s5s	3S	1	1s10p	3P	1
						
2.70E-03	1s5s	3S	1	1s10p	3P	2
5.03E-03	1s4d	1D	2	1s6p	1P	1
3.96E-03	1s4d	3D	3	1s6f	1F	3
4.26E-02	1s4d	3D	2	1s6f	1F	3
4.22E-04	1s4d	3D	3	1s6f	3F	2
						
2.07E-02	1s4d	3D	2	1s6f	3F	2
1.71E-01	1s4d	3D	3	1s6f	3F	4
1.08E-02	1s4d	3D	3	1s6f	3F	3
1.23E-01	1s4d	3D	2	1s6f	3F	3
1.86E-01	1s4d	3D	1	1s6f	3F	2
						
1.38E-01	1s4d	1D	2	1s6f	1F	3
2.68E-06	1s4d	1D	2	1s6f	3F	2
4.82E-02	1s4d	1D	2	1s6f	3F	3
1.81E-03	1s4f	3F	3	1s6g	1G	4
7.24E-03	1s4f	3F	3	1s6g	3G	3
						
1.73E-01	1s4f	3F	3	1s6g	3G	4
4.26E-03	1s4f	3F	4	1s6g	1G	4
1.41E-04	1s4f	3F	4	1s6g	3G	3
1.73E-01	1s4f	3F	4	1s6g	3G	5
4.61E-03	1s4f	3F	4	1s6g	3G	4
						
1.82E-01	1s4f	3F	2	1s6g	3G	3
1.75E-01	1s4f	1F	3	1s6g	1G	4
4.16E-03	1s4f	1F	3	1s6g	3G	3
3.12E-03	1s4f	1F	3	1s6g	3G	4
5.76E-04	1s4f	3F	3	1s6d	1D	2
						
1.04E-03	1s4f	1F	3	1s6d	1D	2
9.35E-04	1s4f	3F	3	1s6d	3D	2
1.15E-04	1s4f	3F	3	1s6d	3D	3
1.63E-03	1s4f	3F	4	1s6d	3D	3
1.37E-03	1s4f	3F	2	1s6d	3D	1
						
2.54E-04	1s4f	3F	2	1s6d	3D	2
7.25E-06	1s4f	3F	2	1s6d	3D	3
5.15E-04	1s4f	1F	3	1s6d	3D	2
6.61E-05	1s4f	1F	3	1s6d	3D	3
1.53E-01	1s4p	1P	1	1s6d	1D	2
						
1.33E-05	1s4p	1P	1	1s6d	3D	2
5.68E-03	1s4d	3D	1	1s6p	3P	0
7.67E-03	1s4d	3D	2	1s6p	3P	1
1.02E-02	1s4d	3D	3	1s6p	3P	2
2.56E-03	1s4d	3D	2	1s6p	3P	2
						
4.26E-03	1s4d	3D	1	1s6p	3P	1
2.84E-04	1s4d	3D	1	1s6p	3P	2
3.47E-02	1s4p	3P	2	1s6s	3S	1
3.47E-02	1s4p	3P	1	1s6s	3S	1
3.47E-02	1s4p	3P	0	1s6s	3S	1
						
2.87E-02	1s4p	1P	1	1s6s	1S	0
8.08E-04	1s5s	3S	1	1s9p	3P	0
2.42E-03	1s5s	3S	1	1s9p	3P	1
4.04E-03	1s5s	3S	1	1s9p	3P	2
1.04E-02	1s5s	1S	0	1s10p	1P	1
						
4.92E-03	1s4s	3S	1	1s5p	3P	0
1.47E-02	1s4s	3S	1	1s5p	3P	1
2.46E-02	1s4s	3S	1	1s5p	3P	2
2.00E-04	1s5p	3P	2	1s10d	3D	1
2.99E-03	1s5p	3P	2	1s10d	3D	2
						
1.68E-02	1s5p	3P	2	1s10d	3D	3
4.99E-03	1s5p	3P	1	1s10d	3D	1
1.50E-02	1s5p	3P	1	1s10d	3D	2
2.00E-02	1s5p	3P	0	1s10d	3D	1
5.09E-03	1s5p	3P	2	1s10s	3S	1
						
5.09E-03	1s5p	3P	1	1s10s	3S	1
5.09E-03	1s5p	3P	0	1s10s	3S	1
1.09E-03	1s5d	1D	2	1s10p	1P	1
4.49E-04	1s5d	3D	3	1s10f	1F	3
4.83E-03	1s5d	3D	2	1s10f	1F	3
						
5.80E-05	1s5d	3D	3	1s10f	3F	2
2.35E-02	1s5d	3D	3	1s10f	3F	4
2.84E-03	1s5d	3D	2	1s10f	3F	2
1.58E-03	1s5d	3D	3	1s10f	3F	3
1.79E-02	1s5d	3D	2	1s10f	3F	3
						
2.56E-02	1s5d	3D	1	1s10f	3F	2
1.61E-02	1s5s	1S	0	1s9p	1P	1
2.01E-02	1s5d	1D	2	1s10f	1F	3
5.46E-03	1s5d	1D	2	1s10f	3F	3
6.38E-04	1s5f	3F	3	1s10g	1G	4
						
1.04E-03	1s5f	3F	3	1s10g	3G	3
2.22E-02	1s5f	3F	3	1s10g	3G	4
5.57E-04	1s5f	3F	4	1s10g	1G	4
1.84E-05	1s5f	3F	4	1s10g	3G	3
2.27E-02	1s5f	3F	4	1s10g	3G	5
						
6.04E-04	1s5f	3F	4	1s10g	3G	4
2.39E-02	1s5f	3F	2	1s10g	3G	3
2.25E-02	1s5f	1F	3	1s10g	1G	4
4.52E-04	1s5f	1F	3	1s10g	3G	3
9.03E-04	1s5f	1F	3	1s10g	3G	4
						
1.38E-04	1s5f	3F	3	1s10d	1D	2
3.30E-04	1s5f	1F	3	1s10d	1D	2
2.86E-04	1s5g	3G	4	1s10h	3H	4
1.35E-02	1s5g	3G	4	1s10h	3H	5
2.18E-04	1s5g	3G	5	1s10h	1H	5
						
4.55E-06	1s5g	3G	5	1s10h	3H	4
1.33E-02	1s5g	3G	5	1s10h	3H	6
2.32E-04	1s5g	3G	5	1s10h	3H	5
1.38E-02	1s5g	3G	3	1s10h	3H	4
1.35E-02	1s5g	1G	4	1s10h	1H	5
						
2.65E-04	1s5g	1G	4	1s10h	3H	4
2.66E-06	1s5g	1G	4	1s10h	3H	5
7.94E-06	1s5g	3G	4	1s10f	1F	3
3.20E-06	1s5g	3G	4	1s10f	3F	4
8.75E-05	1s5g	3G	4	1s10f	3F	3
						
9.87E-05	1s5g	3G	5	1s10f	3F	4
1.76E-06	1s5g	3G	3	1s10f	1F	3
9.06E-05	1s5g	3G	3	1s10f	3F	2
8.94E-05	1s5g	1G	4	1s10f	1F	3
6.17E-06	1s5g	3G	3	1s10f	3F	3
						
2.97E-06	1s5g	1G	4	1s10f	3F	4
6.34E-06	1s5g	1G	4	1s10f	3F	3
2.96E-04	1s5f	3F	3	1s10d	3D	2
3.66E-05	1s5f	3F	3	1s10d	3D	3
4.72E-04	1s5f	3F	4	1s10d	3D	3
						
3.96E-04	1s5f	3F	2	1s10d	3D	1
7.34E-05	1s5f	3F	2	1s10d	3D	2
2.10E-06	1s5f	3F	2	1s10d	3D	3
1.23E-04	1s5f	1F	3	1s10d	3D	2
1.59E-05	1s5f	1F	3	1s10d	3D	3
						
2.01E-03	1s5d	3D	3	1s10p	3P	2
1.51E-03	1s5d	3D	2	1s10p	3P	1
5.03E-04	1s5d	3D	2	1s10p	3P	2
1.12E-03	1s5d	3D	1	1s10p	3P	0
8.38E-04	1s5d	3D	1	1s10p	3P	1
						
5.59E-05	1s5d	3D	1	1s10p	3P	2
2.28E-02	1s5p	1P	1	1s10d	1D	2
4.57E-03	1s5p	1P	1	1s10s	1S	0
1.31E-03	1s5s	3S	1	1s8p	3P	0
3.92E-03	1s5s	3S	1	1s8p	3P	1
						
6.53E-03	1s5s	3S	1	1s8p	3P	2
3.18E-04	1s5p	3P	2	1s9d	3D	1
4.78E-03	1s5p	3P	2	1s9d	3D	2
2.67E-02	1s5p	3P	2	1s9d	3D	3
7.96E-03	1s5p	3P	1	1s9d	3D	1
						
2.39E-02	1s5p	3P	1	1s9d	3D	2
3.18E-02	1s5p	3P	0	1s9d	3D	1
8.65E-03	1s5p	3P	2	1s9s	3S	1
8.65E-03	1s5p	3P	1	1s9s	3S	1
8.65E-03	1s5p	3P	0	1s9s	3S	1
						
1.83E-03	1s5d	1D	2	1s9p	1P	1
7.66E-04	1s5d	3D	3	1s9f	1F	3
8.24E-03	1s5d	3D	2	1s9f	1F	3
9.62E-05	1s5d	3D	3	1s9f	3F	2
4.72E-03	1s5d	3D	2	1s9f	3F	2
						
3.90E-02	1s5d	3D	3	1s9f	3F	4
2.60E-03	1s5d	3D	3	1s9f	3F	3
2.95E-02	1s5d	3D	2	1s9f	3F	3
4.24E-02	1s5d	3D	1	1s9f	3F	2
3.31E-02	1s5d	1D	2	1s9f	1F	3
						
9.31E-03	1s5d	1D	2	1s9f	3F	3
1.11E-03	1s5f	3F	3	1s9g	1G	4
1.81E-03	1s5f	3F	3	1s9g	3G	3
3.86E-02	1s5f	3F	3	1s9g	3G	4
9.68E-04	1s5f	3F	4	1s9g	1G	4
						
3.20E-05	1s5f	3F	4	1s9g	3G	3
3.95E-02	1s5f	3F	4	1s9g	3G	5
1.05E-03	1s5f	3F	4	1s9g	3G	4
4.15E-02	1s5f	3F	2	1s9g	3G	3
3.92E-02	1s5f	1F	3	1s9g	1G	4
						
7.85E-04	1s5f	1F	3	1s9g	3G	3
1.57E-03	1s5f	1F	3	1s9g	3G	4
5.39E-04	1s5g	3G	4	1s9h	3H	4
2.54E-02	1s5g	3G	4	1s9h	3H	5
4.12E-04	1s5g	3G	5	1s9h	1H	5
						
8.57E-06	1s5g	3G	5	1s9h	3H	4
2.51E-02	1s5g	3G	5	1s9h	3H	6
4.37E-04	1s5g	3G	5	1s9h	3H	5
2.59E-02	1s5g	3G	3	1s9h	3H	4
2.54E-02	1s5g	1G	4	1s9h	1H	5
						
4.99E-04	1s5g	1G	4	1s9h	3H	4
5.01E-06	1s5g	1G	4	1s9h	3H	5
1.38E-05	1s5g	3G	4	1s9f	1F	3
2.40E-04	1s5f	3F	3	1s9d	1D	2
5.82E-06	1s5g	3G	4	1s9f	3F	4
						
1.60E-04	1s5g	3G	4	1s9f	3F	3
1.80E-04	1s5g	3G	5	1s9f	3F	4
3.28E-06	1s5g	3G	3	1s9f	1F	3
1.65E-04	1s5g	3G	3	1s9f	3F	2
1.63E-04	1s5g	1G	4	1s9f	1F	3
						
1.11E-05	1s5g	3G	3	1s9f	3F	3
5.40E-06	1s5g	1G	4	1s9f	3F	4
1.09E-05	1s5g	1G	4	1s9f	3F	3
5.74E-04	1s5f	1F	3	1s9d	1D	2
5.15E-04	1s5f	3F	3	1s9d	3D	2
						
6.36E-05	1s5f	3F	3	1s9d	3D	3
8.21E-04	1s5f	3F	4	1s9d	3D	3
6.89E-04	1s5f	3F	2	1s9d	3D	1
1.28E-04	1s5f	3F	2	1s9d	3D	2
3.65E-06	1s5f	3F	2	1s9d	3D	3
						
2.14E-04	1s5f	1F	3	1s9d	3D	2
2.76E-05	1s5f	1F	3	1s9d	3D	3
2.55E-03	1s5d	3D	2	1s9p	3P	1
3.41E-03	1s5d	3D	3	1s9p	3P	2
1.89E-03	1s5d	3D	1	1s9p	3P	0
						
8.51E-04	1s5d	3D	2	1s9p	3P	2
1.42E-03	1s5d	3D	1	1s9p	3P	1
9.46E-05	1s5d	3D	1	1s9p	3P	2
3.73E-02	1s5p	1P	1	1s9d	1D	2
1.46E-01	1s4s	1S	0	1s5p	1P	1
						
7.68E-03	1s5p	1P	1	1s9s	1S	0
2.76E-02	1s5s	1S	0	1s8p	1P	1
1.69E-08	1s2s	1S	0	1s2p	3P	1
3.23E-06	1s5p	3P	1	1s8d	1D	2
5.71E-04	1s5p	3P	2	1s8d	3D	1
						
8.56E-03	1s5p	3P	2	1s8d	3D	2
4.79E-02	1s5p	3P	2	1s8d	3D	3
1.43E-02	1s5p	3P	1	1s8d	3D	1
4.28E-02	1s5p	3P	1	1s8d	3D	2
5.71E-02	1s5p	3P	0	1s8d	3D	1
						
6.73E-06	1s4p	3P	2	1s5d	1D	2
3.12E-05	1s4p	3P	1	1s5d	1D	2
4.38E-03	1s4p	3P	2	1s5d	3D	1
1.10E-01	1s4p	3P	1	1s5d	3D	1
6.58E-02	1s4p	3P	2	1s5d	3D	2
						
3.68E-01	1s4p	3P	2	1s5d	3D	3
3.29E-01	1s4p	3P	1	1s5d	3D	2
4.38E-01	1s4p	3P	0	1s5d	3D	1
3.57E-03	1s5d	1D	2	1s8p	1P	1
2.35E-03	1s5s	3S	1	1s7p	3P	0
						
7.04E-03	1s5s	3S	1	1s7p	3P	1
1.17E-02	1s5s	3S	1	1s7p	3P	2
1.51E-03	1s5d	3D	3	1s8f	1F	3
1.63E-02	1s5d	3D	2	1s8f	1F	3
1.83E-04	1s5d	3D	3	1s8f	3F	2
						
8.98E-03	1s5d	3D	2	1s8f	3F	2
7.42E-02	1s5d	3D	3	1s8f	3F	4
4.90E-03	1s5d	3D	3	1s8f	3F	3
5.55E-02	1s5d	3D	2	1s8f	3F	3
8.08E-02	1s5d	3D	1	1s8f	3F	2
						
6.24E-02	1s5d	1D	2	1s8f	1F	3
1.84E-02	1s5d	1D	2	1s8f	3F	3
2.27E-03	1s5f	3F	3	1s8g	1G	4
3.69E-03	1s5f	3F	3	1s8g	3G	3
7.86E-02	1s5f	3F	3	1s8g	3G	4
						
1.97E-03	1s5f	3F	4	1s8g	1G	4
6.52E-05	1s5f	3F	4	1s8g	3G	3
8.04E-02	1s5f	3F	4	1s8g	3G	5
2.14E-03	1s5f	3F	4	1s8g	3G	4
8.46E-02	1s5f	3F	2	1s8g	3G	3
						
7.98E-02	1s5f	1F	3	1s8g	1G	4
1.60E-03	1s5f	1F	3	1s8g	3G	3
3.21E-03	1s5f	1F	3	1s8g	3G	4
2.38E-06	1s5g	3G	4	1s8h	1H	5
1.24E-03	1s5g	3G	4	1s8h	3H	4
						
5.87E-02	1s5g	3G	4	1s8h	3H	5
9.51E-04	1s5g	3G	5	1s8h	1H	5
1.98E-05	1s5g	3G	5	1s8h	3H	4
5.80E-02	1s5g	3G	5	1s8h	3H	6
1.01E-03	1s5g	3G	5	1s8h	3H	5
						
5.99E-02	1s5g	3G	3	1s8h	3H	4
5.88E-02	1s5g	1G	4	1s8h	1H	5
1.15E-03	1s5g	1G	4	1s8h	3H	4
1.16E-05	1s5g	1G	4	1s8h	3H	5
2.80E-05	1s5g	3G	4	1s8f	1F	3
						
1.27E-05	1s5g	3G	4	1s8f	3F	4
3.51E-04	1s5g	3G	4	1s8f	3F	3
7.41E-06	1s5g	3G	3	1s8f	1F	3
3.91E-04	1s5g	3G	5	1s8f	3F	4
3.59E-04	1s5g	3G	3	1s8f	3F	2
						
3.57E-04	1s5g	1G	4	1s8f	1F	3
2.40E-05	1s5g	3G	3	1s8f	3F	3
1.18E-05	1s5g	1G	4	1s8f	3F	4
2.20E-05	1s5g	1G	4	1s8f	3F	3
4.89E-04	1s5f	3F	3	1s8d	1D	2
						
1.17E-03	1s5f	1F	3	1s8d	1D	2
1.05E-03	1s5f	3F	3	1s8d	3D	2
1.30E-04	1s5f	3F	3	1s8d	3D	3
1.67E-03	1s5f	3F	4	1s8d	3D	3
1.41E-03	1s5f	3F	2	1s8d	3D	1
						
2.60E-04	1s5f	3F	2	1s8d	3D	2
7.44E-06	1s5f	3F	2	1s8d	3D	3
4.37E-04	1s5f	1F	3	1s8d	3D	2
5.63E-05	1s5f	1F	3	1s8d	3D	3
1.72E-02	1s5p	3P	2	1s8s	3S	1
						
1.72E-02	1s5p	3P	1	1s8s	3S	1
1.72E-02	1s5p	3P	0	1s8s	3S	1
6.93E-02	1s5p	1P	1	1s8d	1D	2
5.39E-06	1s5p	1P	1	1s8d	3D	2
3.72E-03	1s5d	3D	1	1s8p	3P	0
						
5.03E-03	1s5d	3D	2	1s8p	3P	1
6.70E-03	1s5d	3D	3	1s8p	3P	2
1.68E-03	1s5d	3D	2	1s8p	3P	2
2.79E-03	1s5d	3D	1	1s8p	3P	1
1.86E-04	1s5d	3D	1	1s8p	3P	2
						
1.50E-02	1s5p	1P	1	1s8s	1S	0
2.89E-06	1s4d	3D	2	1s5p	1P	1
2.36E-02	1s4d	1D	2	1s5p	1P	1
2.12E-02	1s4d	3D	3	1s5f	1F	3
2.29E-01	1s4d	3D	2	1s5f	1F	3
						
2.01E-03	1s4d	3D	3	1s5f	3F	2
9.83E-02	1s4d	3D	2	1s5f	3F	2
8.13E-01	1s4d	3D	3	1s5f	3F	4
4.90E-02	1s4d	3D	3	1s5f	3F	3
5.57E-01	1s4d	3D	2	1s5f	3F	3
						
8.85E-01	1s4d	3D	1	1s5f	3F	2
6.27E-01	1s4d	1D	2	1s5f	1F	3
1.28E-05	1s4d	1D	2	1s5f	3F	2
2.59E-01	1s4d	1D	2	1s5f	3F	3
1.34E-02	1s4f	3F	3	1s5g	1G	4
						
5.34E-02	1s4f	3F	3	1s5g	3G	3
1.28E+00	1s4f	3F	3	1s5g	3G	4
3.15E-02	1s4f	3F	4	1s5g	1G	4
1.04E-03	1s4f	3F	4	1s5g	3G	3
1.28E+00	1s4f	3F	4	1s5g	3G	5
						
3.40E-02	1s4f	3F	4	1s5g	3G	4
1.35E+00	1s4f	3F	2	1s5g	3G	3
1.29E+00	1s4f	1F	3	1s5g	1G	4
3.07E-02	1s4f	1F	3	1s5g	3G	3
2.32E-02	1s4f	1F	3	1s5g	3G	4
						
3.23E-03	1s4f	3F	3	1s5d	1D	2
5.84E-03	1s4f	1F	3	1s5d	1D	2
5.25E-03	1s4f	3F	3	1s5d	3D	2
6.46E-04	1s4f	3F	3	1s5d	3D	3
7.69E-03	1s4f	3F	2	1s5d	3D	1
						
9.15E-03	1s4f	3F	4	1s5d	3D	3
1.42E-03	1s4f	3F	2	1s5d	3D	2
4.07E-05	1s4f	3F	2	1s5d	3D	3
2.89E-03	1s4f	1F	3	1s5d	3D	2
3.71E-04	1s4f	1F	3	1s5d	3D	3
						
6.48E-01	1s4p	1P	1	1s5d	1D	2
6.41E-05	1s4p	1P	1	1s5d	3D	2
5.56E-02	1s5s	1S	0	1s7p	1P	1
2.94E-02	1s4d	3D	1	1s5p	3P	0
3.97E-02	1s4d	3D	2	1s5p	3P	1
						
5.30E-02	1s4d	3D	3	1s5p	3P	2
1.32E-02	1s4d	3D	2	1s5p	3P	2
2.21E-02	1s4d	3D	1	1s5p	3P	1
1.47E-03	1s4d	3D	1	1s5p	3P	2
4.99E-06	1s4d	1D	2	1s5p	3P	1
						
1.72E-06	1s4d	1D	2	1s5p	3P	2
9.90E-02	1s3s	3S	1	1s3p	3P	0
2.97E-01	1s3s	3S	1	1s3p	3P	1
4.95E-01	1s3s	3S	1	1s3p	3P	2
1.59E-06	1s5p	3P	2	1s7d	1D	2
						
7.39E-06	1s5p	3P	1	1s7d	1D	2
1.25E-03	1s5p	3P	2	1s7d	3D	1
1.88E-02	1s5p	3P	2	1s7d	3D	2
1.05E-01	1s5p	3P	2	1s7d	3D	3
3.13E-02	1s5p	3P	1	1s7d	3D	1
						
9.39E-02	1s5p	3P	1	1s7d	3D	2
1.25E-01	1s5p	3P	0	1s7d	3D	1
8.23E-04	1s6s	3S	1	1s10p	3P	0
2.47E-03	1s6s	3S	1	1s10p	3P	1
4.12E-03	1s6s	3S	1	1s10p	3P	2
						
1.59E-01	1s4p	1P	1	1s5s	1S	0
9.00E-03	1s5d	1D	2	1s7p	1P	1
3.87E-03	1s5d	3D	3	1s7f	1F	3
4.17E-02	1s5d	3D	2	1s7f	1F	3
4.45E-04	1s5d	3D	3	1s7f	3F	2
						
2.18E-02	1s5d	3D	2	1s7f	3F	2
1.80E-01	1s5d	3D	3	1s7f	3F	4
1.17E-02	1s5d	3D	3	1s7f	3F	3
1.33E-01	1s5d	3D	2	1s7f	3F	3
1.96E-01	1s5d	3D	1	1s7f	3F	2
						
1.49E-01	1s5d	1D	2	1s7f	1F	3
2.23E-06	1s5d	1D	2	1s7f	3F	2
4.72E-02	1s5d	1D	2	1s7f	3F	3
6.15E-03	1s5f	3F	3	1s7g	1G	4
9.97E-03	1s5f	3F	3	1s7g	3G	3
						
2.13E-01	1s5f	3F	3	1s7g	3G	4
5.34E-03	1s5f	3F	4	1s7g	1G	4
1.77E-04	1s5f	3F	4	1s7g	3G	3
2.17E-01	1s5f	3F	4	1s7g	3G	5
5.78E-03	1s5f	3F	4	1s7g	3G	4
						
2.29E-01	1s5f	3F	2	1s7g	3G	3
2.16E-01	1s5f	1F	3	1s7g	1G	4
4.33E-03	1s5f	1F	3	1s7g	3G	3
8.69E-03	1s5f	1F	3	1s7g	3G	4
8.00E-06	1s5g	3G	4	1s7h	1H	5
						
4.19E-03	1s5g	3G	4	1s7h	3H	4
1.98E-01	1s5g	3G	4	1s7h	3H	5
3.20E-03	1s5g	3G	5	1s7h	1H	5
6.67E-05	1s5g	3G	5	1s7h	3H	4
1.95E-01	1s5g	3G	5	1s7h	3H	6
						
3.40E-03	1s5g	3G	5	1s7h	3H	5
2.02E-01	1s5g	3G	3	1s7h	3H	4
1.98E-01	1s5g	1G	4	1s7h	1H	5
3.88E-03	1s5g	1G	4	1s7h	3H	4
3.90E-05	1s5g	1G	4	1s7h	3H	5
						
7.58E-05	1s5g	3G	4	1s7f	1F	3
3.83E-05	1s5g	3G	4	1s7f	3F	4
1.07E-03	1s5g	3G	4	1s7f	3F	3
2.35E-05	1s5g	3G	3	1s7f	1F	3
1.18E-03	1s5g	3G	5	1s7f	3F	4
						
1.09E-03	1s5g	1G	4	1s7f	1F	3
1.08E-03	1s5g	3G	3	1s7f	3F	2
1.50E-06	1s5g	3G	3	1s7f	3F	4
7.12E-05	1s5g	3G	3	1s7f	3F	3
3.54E-05	1s5g	1G	4	1s7f	3F	4
						
5.87E-05	1s5g	1G	4	1s7f	3F	3
1.33E-03	1s5f	3F	3	1s7d	1D	2
3.19E-03	1s5f	1F	3	1s7d	1D	2
2.86E-03	1s5f	3F	3	1s7d	3D	2
3.53E-04	1s5f	3F	3	1s7d	3D	3
						
4.55E-03	1s5f	3F	4	1s7d	3D	3
3.83E-03	1s5f	3F	2	1s7d	3D	1
7.08E-04	1s5f	3F	2	1s7d	3D	2
2.02E-05	1s5f	3F	2	1s7d	3D	3
1.19E-03	1s5f	1F	3	1s7d	3D	2
						
1.53E-04	1s5f	1F	3	1s7d	3D	3
2.23E-01	1s4p	3P	2	1s5s	3S	1
2.23E-01	1s4p	3P	1	1s5s	3S	1
2.23E-01	1s4p	3P	0	1s5s	3S	1
1.63E-01	1s5p	1P	1	1s7d	1D	2
						
1.33E-05	1s5p	1P	1	1s7d	3D	2
9.65E-03	1s5d	3D	1	1s7p	3P	0
1.30E-02	1s5d	3D	2	1s7p	3P	1
1.74E-02	1s5d	3D	3	1s7p	3P	2
4.34E-03	1s5d	3D	2	1s7p	3P	2
						
7.23E-03	1s5d	3D	1	1s7p	3P	1
4.82E-04	1s5d	3D	1	1s7p	3P	2
1.34E-02	1s6s	1S	0	1s10p	1P	1
4.67E-02	1s5p	3P	2	1s7s	3S	1
4.67E-02	1s5p	3P	1	1s7s	3S	1
						
4.67E-02	1s5p	3P	0	1s7s	3S	1
3.91E-02	1s5p	1P	1	1s7s	1S	0
