fik	Lower Level   Conf., Term, J			Upper Level   Conf., Term, J		
1.23E-01	1s2p	3P	0	1s4d	3D	1
1.06E-02	1s2p	3P	2	1s4s	3S	1
1.06E-02	1s2p	3P	1	1s4s	3S	1
1.06E-02	1s2p	3P	0	1s4s	3S	1
1.20E-01	1s2p	1P	1	1s4d	1D	2
						
1.51E-01	1s2s	1S	0	1s3p	1P	1
8.63E-03	1s2p	1P	1	1s4s	1S	0
2.23E-05	1s2p	3P	2	1s3d	1D	2
1.06E-04	1s2p	3P	1	1s3d	1D	2
6.10E-03	1s2p	3P	2	1s3d	3D	1
						
9.15E-02	1s2p	3P	2	1s3d	3D	2
5.13E-01	1s2p	3P	2	1s3d	3D	3
1.53E-01	1s2p	3P	1	1s3d	3D	1
4.58E-01	1s2p	3P	1	1s3d	3D	2
6.10E-01	1s2p	3P	0	1s3d	3D	1
						
7.10E-01	1s2p	1P	1	1s3d	1D	2
1.68E-04	1s2p	1P	1	1s3d	3D	2
6.95E-02	1s2p	3P	2	1s3s	3S	1
6.95E-02	1s2p	3P	1	1s3s	3S	1
6.95E-02	1s2p	3P	0	1s3s	3S	1
						
2.45E-04	1s3s	3S	1	1s10p	3P	0
7.36E-04	1s3s	3S	1	1s10p	3P	1
1.23E-03	1s3s	3S	1	1s10p	3P	2
4.85E-02	1s2p	1P	1	1s3s	1S	0
3.44E-04	1s3s	3S	1	1s9p	3P	0
						
1.03E-03	1s3s	3S	1	1s9p	3P	1
1.72E-03	1s3s	3S	1	1s9p	3P	2
5.05E-04	1s3s	3S	1	1s8p	3P	0
1.51E-03	1s3s	3S	1	1s8p	3P	1
2.52E-03	1s3s	3S	1	1s8p	3P	2
						
7.87E-04	1s3s	3S	1	1s7p	3P	0
2.36E-03	1s3s	3S	1	1s7p	3P	1
3.93E-03	1s3s	3S	1	1s7p	3P	2
4.07E-03	1s3s	1S	0	1s10p	1P	1
5.76E-03	1s3s	1S	0	1s9p	1P	1
						
1.33E-03	1s3s	3S	1	1s6p	3P	0
4.00E-03	1s3s	3S	1	1s6p	3P	1
6.66E-03	1s3s	3S	1	1s6p	3P	2
8.57E-03	1s3s	1S	0	1s8p	1P	1
7.72E-05	1s3p	3P	2	1s10d	3D	1
						
1.16E-03	1s3p	3P	2	1s10d	3D	2
6.49E-03	1s3p	3P	2	1s10d	3D	3
1.93E-03	1s3p	3P	1	1s10d	3D	1
5.79E-03	1s3p	3P	1	1s10d	3D	2
7.72E-03	1s3p	3P	0	1s10d	3D	1
						
1.02E-03	1s3p	3P	2	1s10s	3S	1
1.02E-03	1s3p	3P	1	1s10s	3S	1
1.02E-03	1s3p	3P	0	1s10s	3S	1
1.11E-04	1s3p	3P	2	1s9d	3D	1
1.67E-03	1s3p	3P	2	1s9d	3D	2
						
9.34E-03	1s3p	3P	2	1s9d	3D	3
2.78E-03	1s3p	3P	1	1s9d	3D	1
8.34E-03	1s3p	3P	1	1s9d	3D	2
1.11E-02	1s3p	3P	0	1s9d	3D	1
1.50E-03	1s3p	3P	2	1s9s	3S	1
						
1.50E-03	1s3p	3P	1	1s9s	3S	1
1.50E-03	1s3p	3P	0	1s9s	3S	1
1.70E-08	1s2s	3S	1	1s2p	1P	1
1.37E-02	1s3s	1S	0	1s7p	1P	1
1.08E-04	1s3d	3D	3	1s10f	1F	3
						
1.39E-05	1s3d	3D	3	1s10f	3F	2
5.62E-03	1s3d	3D	3	1s10f	3F	4
3.78E-04	1s3d	3D	3	1s10f	3F	3
1.13E-03	1s3d	3D	2	1s10f	1F	3
6.80E-04	1s3d	3D	2	1s10f	3F	2
						
4.31E-03	1s3d	3D	2	1s10f	3F	3
6.12E-03	1s3d	3D	1	1s10f	3F	2
9.03E-05	1s3d	1D	2	1s10p	1P	1
4.83E-03	1s3d	1D	2	1s10f	1F	3
1.28E-03	1s3d	1D	2	1s10f	3F	3
						
1.94E-04	1s3d	3D	3	1s10p	3P	2
1.46E-04	1s3d	3D	2	1s10p	3P	1
4.85E-05	1s3d	3D	2	1s10p	3P	2
1.08E-04	1s3d	3D	1	1s10p	3P	0
8.09E-05	1s3d	3D	1	1s10p	3P	1
						
5.39E-06	1s3d	3D	1	1s10p	3P	2
1.70E-04	1s3p	3P	2	1s8d	3D	1
2.55E-03	1s3p	3P	2	1s8d	3D	2
1.43E-02	1s3p	3P	2	1s8d	3D	3
4.25E-03	1s3p	3P	1	1s8d	3D	1
						
1.27E-02	1s3p	3P	1	1s8d	3D	2
1.70E-02	1s3p	3P	0	1s8d	3D	1
7.60E-03	1s3p	1P	1	1s10d	1D	2
9.13E-04	1s3p	1P	1	1s10s	1S	0
2.36E-03	1s3p	3P	2	1s8s	3S	1
						
2.36E-03	1s3p	3P	1	1s8s	3S	1
2.36E-03	1s3p	3P	0	1s8s	3S	1
1.32E-04	1s3d	1D	2	1s9p	1P	1
1.64E-04	1s3d	3D	3	1s9f	1F	3
1.73E-03	1s3d	3D	2	1s9f	1F	3
						
2.06E-05	1s3d	3D	3	1s9f	3F	2
8.35E-03	1s3d	3D	3	1s9f	3F	4
5.58E-04	1s3d	3D	3	1s9f	3F	3
1.01E-03	1s3d	3D	2	1s9f	3F	2
6.36E-03	1s3d	3D	2	1s9f	3F	3
						
9.09E-03	1s3d	3D	1	1s9f	3F	2
7.12E-03	1s3d	1D	2	1s9f	1F	3
1.95E-03	1s3d	1D	2	1s9f	3F	3
2.85E-04	1s3d	3D	3	1s9p	3P	2
2.14E-04	1s3d	3D	2	1s9p	3P	1
						
7.12E-05	1s3d	3D	2	1s9p	3P	2
1.58E-04	1s3d	3D	1	1s9p	3P	0
1.19E-04	1s3d	3D	1	1s9p	3P	1
7.91E-06	1s3d	3D	1	1s9p	3P	2
1.10E-02	1s3p	1P	1	1s9d	1D	2
						
1.33E-03	1s3p	1P	1	1s9s	1S	0
2.55E-03	1s3s	3S	1	1s5p	3P	0
7.64E-03	1s3s	3S	1	1s5p	3P	1
1.27E-02	1s3s	3S	1	1s5p	3P	2
2.82E-04	1s3p	3P	2	1s7d	3D	1
						
4.22E-03	1s3p	3P	2	1s7d	3D	2
2.37E-02	1s3p	3P	2	1s7d	3D	3
7.04E-03	1s3p	3P	1	1s7d	3D	1
2.11E-02	1s3p	3P	1	1s7d	3D	2
2.82E-02	1s3p	3P	0	1s7d	3D	1
						
2.07E-04	1s3d	1D	2	1s8p	1P	1
2.72E-04	1s3d	3D	3	1s8f	1F	3
2.86E-03	1s3d	3D	2	1s8f	1F	3
3.29E-05	1s3d	3D	3	1s8f	3F	2
1.33E-02	1s3d	3D	3	1s8f	3F	4
						
8.80E-04	1s3d	3D	3	1s8f	3F	3
1.61E-03	1s3d	3D	2	1s8f	3F	2
1.00E-02	1s3d	3D	2	1s8f	3F	3
1.45E-02	1s3d	3D	1	1s8f	3F	2
3.24E-03	1s3d	1D	2	1s8f	3F	3
						
1.12E-02	1s3d	1D	2	1s8f	1F	3
4.47E-04	1s3d	3D	3	1s8p	3P	2
3.35E-04	1s3d	3D	2	1s8p	3P	1
1.12E-04	1s3d	3D	2	1s8p	3P	2
2.48E-04	1s3d	3D	1	1s8p	3P	0
						
1.86E-04	1s3d	3D	1	1s8p	3P	1
1.24E-05	1s3d	3D	1	1s8p	3P	2
2.42E-02	1s3s	1S	0	1s6p	1P	1
1.71E-02	1s3p	1P	1	1s8d	1D	2
2.08E-03	1s3p	1P	1	1s8s	1S	0
						
4.07E-03	1s3p	3P	2	1s7s	3S	1
4.07E-03	1s3p	3P	1	1s7s	3S	1
4.07E-03	1s3p	3P	0	1s7s	3S	1
3.56E-04	1s3d	1D	2	1s7p	1P	1
